iter	MultiClass
0	2.110402424
1	1.919252172
2	1.776340481
3	1.68873193
4	1.608534071
5	1.528429906
6	1.456125317
7	1.39590697
8	1.339016929
9	1.293455389
10	1.243418289
11	1.178897712
12	1.124216961
13	1.077119647
14	1.038607421
15	1.001604009
16	0.9806788513
17	0.931370516
18	0.892488969
19	0.8519481102
20	0.8368049077
21	0.8127891489
22	0.7978492534
23	0.7798700005
24	0.7460886603
25	0.7354295139
26	0.7200938361
27	0.7064098775
28	0.6860528699
29	0.6661862605
30	0.6541672375
31	0.6423028105
32	0.6193832716
33	0.597905938
34	0.583532569
35	0.5769190796
36	0.5667651216
37	0.5633097098
38	0.5480182447
39	0.5350785596
40	0.5295312594
41	0.5244405736
42	0.5218837994
43	0.5105009432
44	0.4991451351
45	0.4905215102
46	0.4805883202
47	0.4706718508
48	0.4630928938
49	0.4601879457
50	0.4491504462
51	0.434445662
52	0.4306693159
53	0.4205949996
54	0.4115843192
55	0.4067065307
56	0.3941813571
57	0.3926520699
58	0.3827160406
59	0.3727453293
60	0.3686154416
61	0.3640409898
62	0.3620343227
63	0.3517308986
64	0.3448055732
65	0.3417382759
66	0.3373081899
67	0.3296363266
68	0.3244029922
69	0.3164618671
70	0.3098029271
71	0.3070364295
72	0.3057669001
73	0.2999413525
74	0.2945050517
75	0.2907969583
76	0.2823528142
77	0.2795095166
78	0.2719500926
79	0.2663287623
80	0.2619354674
81	0.260523598
82	0.2557801229
83	0.2539704381
84	0.2511034567
85	0.2475826095
86	0.2455466889
87	0.2403332356
88	0.2353392028
89	0.233381919
90	0.2302440781
91	0.2266357074
92	0.2242280275
93	0.2185853173
94	0.2170540265
95	0.212828553
96	0.2119753341
97	0.2071437114
98	0.2055693885
99	0.200283048
