iter	Passed	Remaining
0	101	10007
1	197	9694
2	295	9546
3	395	9493
4	495	9417
5	594	9312
6	694	9228
7	794	9138
8	897	9078
9	995	8963
10	1096	8875
11	1198	8789
12	1297	8682
13	1394	8564
14	1490	8447
15	1588	8340
16	1684	8226
17	1781	8114
18	1876	7998
19	1984	7936
20	2082	7833
21	2180	7730
22	2276	7620
23	2374	7520
24	2471	7414
25	2568	7311
26	2666	7210
27	2760	7097
28	2857	6996
29	2960	6907
30	3056	6803
31	3153	6701
32	3254	6608
33	3358	6518
34	3458	6422
35	3552	6315
36	3651	6218
37	3750	6119
38	3856	6032
39	3954	5932
40	4052	5831
41	4148	5728
42	4243	5624
43	4336	5519
44	4436	5421
45	4530	5318
46	4638	5231
47	4736	5131
48	4839	5037
49	4938	4938
50	5040	4842
51	5137	4741
52	5230	4638
53	5337	4546
54	5435	4447
55	5530	4345
56	5635	4251
57	5732	4150
58	5829	4051
59	5927	3951
60	6026	3852
61	6121	3751
62	6218	3652
63	6317	3553
64	6414	3453
65	6512	3354
66	6614	3257
67	6714	3159
68	6809	3059
69	6907	2960
70	7004	2861
71	7100	2761
72	7199	2662
73	7297	2563
74	7393	2464
75	7492	2365
76	7592	2267
77	7688	2168
78	7783	2069
79	7884	1971
80	7981	1872
81	8076	1772
82	8176	1674
83	8272	1575
84	8368	1476
85	8462	1377
86	8560	1279
87	8657	1180
88	8754	1082
89	8850	983
90	8946	884
91	9045	786
92	9143	688
93	9239	589
94	9335	491
95	9432	393
96	9532	294
97	9627	196
98	9724	98
99	9824	0
